text,label
Do not buy.,negative
This headphones is so good.,positive
Works perfectly.,positive
Extremely disappointed with this keyboard.,negative
The running shoes is decent enough.,neutral
The smartphone broke down after the first use.,negative
Absolutely love it.,positive
"This backpack is fantastic, well built and reliable.",positive
Customer support ignored my complaints about the faulty fitness tracker.,negative
Cheap and useless running shoes.,negative
Not worth it.,negative
Love this headphones!,positive
Excellent purchase.,positive
"Absolutely love the running shoes, best purchase this year.",positive
"Good one, really glad I bought this speaker.",positive
"Poor build quality, the laptop is not worth the price.",negative
"It does what it should, nothing more.",neutral
"The smartwatch is slow, unreliable, and frustrating to use.",negative
Not worth it.,negative
"It works, but nothing impressive about the fitness tracker.",neutral
I'm impressed by how well the camera performs daily.,positive
Excellent purchase.,positive
The tablet meets basic expectations but lacks extra features.,neutral
"The wireless mouse works as described, average performance overall.",neutral
Completely useless.,negative
"The smartphone is worth every penny, highly satisfied.",positive
"The monitor is okay, nothing particularly special about it.",neutral
Not bad.,neutral
"I am disappointed with this backpack, it feels cheap.",negative
Customer support ignored my complaints about the faulty tablet.,negative
Very disappointed.,negative
10 out of 10.,positive
Terrible product.,negative
Fine I guess.,neutral
"Five stars for this smartphone, could not be happier.",positive
Does the job.,neutral
"The router is acceptable, though I expected slightly more.",neutral
"Great stuff, the fitness tracker is top notch.",positive
Highly recommend.,positive
Does the job.,neutral
Fine I guess.,neutral
"I regret buying this router, it failed within a week.",negative
"Decent monitor for the price, though not outstanding.",neutral
Really bad.,negative
"Great value for money, the electric kettle is excellent quality.",positive
The headphones is garbage.,negative
Not amazing but not bad either.,neutral
The fitness tracker is fine I suppose.,neutral
"Could be better, could be worse.",neutral
Does the job.,neutral
Not bad.,neutral
The headphones stopped working immediately.,negative
Worst purchase ever.,negative
"I am disappointed with this smartwatch, it feels cheap.",negative
Cheap and useless fitness tracker.,negative
"Highly recommend this backpack, it solved all my needs.",positive
"Do not buy this keyboard, it is terrible quality.",negative
The electric kettle is passable but I would not buy it again.,neutral
Really bad.,negative
"It is an okay fitness tracker, nothing to write home about.",neutral
"It does what it should, nothing more.",neutral
"I have mixed feelings about the tablet, some good some bad.",neutral
Mixed feelings.,neutral
"Do not buy this headphones, it is terrible quality.",negative
Not happy at all with the electric kettle.,negative
The vacuum cleaner arrived damaged and was hard to return.,negative
"It does the job, but the backpack is not very impressive.",neutral
So so.,neutral
Good one.,positive
"It does the job, but the wireless mouse is not very impressive.",neutral
"Wow, the blender blew me away.",positive
The backpack stopped working after just a few days.,negative
Great product.,positive
"Solid fitness tracker, no complaints.",positive
The laptop meets basic expectations but lacks extra features.,neutral
"I am disappointed with this smartphone, it feels cheap.",negative
Terrible product.,negative
"Hate this running shoes, it keeps breaking.",negative
"I have mixed feelings about the air purifier, some good some bad.",neutral
"Poor build quality, the smartwatch is not worth the price.",negative
Very satisfied.,positive
"The vacuum cleaner is neither great nor terrible, just average.",neutral
"Such a bad smartphone, wasted my money.",negative
"Good one, really glad I bought this speaker.",positive
Broken on arrival.,negative
10 out of 10.,positive
"Broken fitness tracker, very frustrating.",negative
Highly recommend.,positive
"It works, but nothing impressive about the smartwatch.",neutral
10 out of 10.,positive
"Highly recommend this fitness tracker, it solved all my needs.",positive
Terrible product.,negative
"The router is fine for basic use, nothing more.",neutral
The tablet overheats constantly and the battery drains fast.,negative
Very satisfied.,positive
Nothing special.,neutral
Not amazing but not bad either.,neutral
"Such a bad blender, wasted my money.",negative
"Not bad, not great either.",neutral
Could be better.,neutral
Kind of mixed on this electric kettle.,neutral
Broken on arrival.,negative
"Absolutely love the coffee maker, best purchase this year.",positive
The blender exceeded my expectations and works flawlessly.,positive
"Amazing router, 10/10 would buy again.",positive
"Average quality backpack, does what it says.",neutral
Excellent purchase.,positive
"Happy with this headphones, works well.",positive
